sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
742,12-06-2017,Boxx.ai,Artificial Intelligence,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.0
743,12-06-2017,PeeSafe.in,Hygiene care product manufacturer,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0
744,12-06-2017,Vista Rooms,Online rooms aggregation platform,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0
745,12-06-2017,CoverFox,Online insurance brokerage platform,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000.0
746,13-06-2017,HyperTrack,Location tracking solutions,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,5925000.0
747,13-06-2017,Goodera,CSR and sustainability management platform,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000.0
748,13-06-2017,Digit,Tech driven Insurance platform,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,5925000.0
749,14-06-2017,Ola,Cab Aggregation App,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,50000000.0
750,14-06-2017,Vanitycask,Beauty products discovery platform,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,324500.0
751,14-06-2017,MrNeeds,Micro Food Delivery platform,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000.0
752,15-06-2017,MoneyTap,Money Lending platform,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000.0
753,16-06-2017,Goodbox,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.0
754,16-06-2017,Fincash,Personal Finance platform,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.0
755,16-06-2017,PortDesk,Maritime Solutions,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000.0
756,16-06-2017,EdgeFx,DIY project Kits seller,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,324500.0
757,16-06-2017,EazyDiner,Online Restaurant Reservation Platform,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,324500.0
758,16-06-2017,HealthIntel,Online Pharmacy,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,324500.0
759,19-06-2017,Unbxd,Cloud-based product discovery platform,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,12500000.0
760,19-06-2017,DarwinBox,Enterprise human resources management platform,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000.0
761,20-06-2017,ForeverShop,Mobile based ecommerce platform,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,300000.0
762,20-06-2017,Insider.in,Events Ticketing platform,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000.0
763,21-06-2017,Fynd,Fashion etailer,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000.0
764,21-06-2017,Grow Fit,Health-Tech platform,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000.0
765,21-06-2017,Fabulyst,Artificial Intelligence based platform,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000.0
766,21-06-2017,mSwipe,Point-of-Sale services,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000.0
767,21-06-2017,OneAssist,Credit card fraud protection,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,5925000.0
768,22-06-2017,Julia Computing,Open Source Language for Data Science and Machine Learning,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000.0
769,22-06-2017,Kissht,Consumer Lending platform,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.0
770,22-06-2017,Explore Life traveling,Local homes booking platform,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.0
771,23-06-2017,Loantap,Lending platform for salaried professionals,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000.0
772,23-06-2017,Voxweb,Mobile based social networking platform,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0
773,26-06-2017,HUG Innovations,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000.0
774,26-06-2017,Flipkart,Online marketplace,Online marketplace,Bangalore,Naspers,Private Equity,71000000.0
775,26-06-2017,V Resorts,Holiday & Vacation resort aggregator,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,4000000.0
776,27-06-2017,Stashfin,Personal Finance App,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.0
777,27-06-2017,Formcept,Unified Data Analysis platform,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,5925000.0
778,27-06-2017,Spares Hub,Automobile parts marketplace,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.0
779,28-06-2017,FiTraQ,Fitness Centre Discovery Platform,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,324500.0
780,28-06-2017,Rubique,Online Marketplace for financial products,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.0
781,28-06-2017,Niki.ai,AI Based Personal Assistant,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,2000000.0
782,29-06-2017,Fitpass,Online Fitness Marketplace,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.0
783,29-06-2017,ZingHR,"digital employee solutions,","digital employee solutions,",Mumbai,Zeta,Private Equity,5925000.0
784,30-06-2017,Tagos Design,in-video discovery platform,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,5000000.0
785,30-06-2017,UrbanClap,Mobile Services Marketplace,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.0
786,01-05-2017,Ace2three,Online Rummy playing Website,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000.0
787,01-05-2017,Power2SME,Buying portal for SMEs,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,10000000.0
788,02-05-2017,Innovapptive,Enterprise Mobility Solutions,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000.0
789,02-05-2017,4tigo,Truck Network company,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000.0
790,02-05-2017,SMECorner,Online Platform for small business loans,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,5925000.0
791,02-05-2017,ZippServe,Real estate risk assessment platform,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,390000.0
792,03-05-2017,Ola,Cab Aggregation App,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,104500000.0
793,03-05-2017,Sumeru,Software & Mobile development services,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,1000000.0
794,04-05-2017,Healthians,Online Diagnostics and wellness platform,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,5925000.0
795,05-05-2017,HealthMir,AI-based health content platform,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,324500.0
796,05-05-2017,Uactive,Health-based social networking & discovery App,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,324500.0
797,05-05-2017,i-lend,Peer-to-peer lending platform,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,324500.0
798,05-05-2017,Good Methods Global,Cloud Based Practice Management Software,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,5925000.0
799,05-05-2017,Balance App,Money Savings & Management App,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000.0
800,08-05-2017,YepMe,Private Label Fashion etailer,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.0
801,08-05-2017,Nightstay,Last minute hotel booking mobile app,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,324500.0
802,08-05-2017,Devourin,Restaurant Automation Solution,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,324500.0
803,08-05-2017,MyGreens,Cold-press Juices manufacturer,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000.0
804,08-05-2017,Ace Turtle,Omni-Channel Platform,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.0
805,08-05-2017,CureFit,Health-Tech Platform,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000.0
806,09-05-2017,Curie Labs,Energy Analytics startup,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000.0
807,09-05-2017,Uncanny Vision,Computer Vision on Embedded Systems,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,324500.0
808,09-05-2017,Anchanto,Ecommerce Fulfilment and Technology Platform,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,5925000.0
809,09-05-2017,Sequretek,IT Security & Data Management Services,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,5925000.0
810,10-05-2017,Lucideus,Cyber Security Startup,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,324500.0
811,10-05-2017,Vidooly,Video Intelligence platform,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000.0
812,10-05-2017,Shopclues,Online marketplace,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000.0
813,10-05-2017,Fourth Ambit,Community Building platform,Community Building platform,Bangalore,1Crowd,Seed Funding,600000.0
814,10-05-2017,Chymera VR,Advertising Platform for Virtual Reality,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,324500.0
815,11-05-2017,Early Salary,Online lending platform,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0
816,11-05-2017,Book My Diamond,Diamond B2B eTailer,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,324500.0
817,11-05-2017,ION Energy,Clean Tech Startup,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,324500.0
818,12-05-2017,Legal Raasta,Legal Services to SMEs & Individuals,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000.0
819,12-05-2017,Log 9 Materials,NanoTech product developer,NanoTech product developer,Bangalore,GEMs,Seed Funding,324500.0
820,12-05-2017,Remit Guru,Digital money transfer platform,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000.0
821,12-05-2017,Aequm,Cloud ECommerce platform,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,1000000.0
822,15-05-2017,Zapty,Project Management tool,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,500000.0
823,15-05-2017,Vernacular.ai,Multi-lingual AI Platform for Businesses,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,324500.0
824,16-05-2017,Niki.ai,AI-based chatbot,AI-based chatbot,Bangalore,SAP,Private Equity,5925000.0
825,16-05-2017,Telr,Online Payment Gateway,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000.0
826,16-05-2017,Fynd,Fashion ECommerce Portal,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000.0
827,17-05-2017,Genie,hyperlocal delivery and logistics mobile app,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,250000.0
828,17-05-2017,Paysense,Online Lending platform,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000.0
829,18-05-2017,The Good Life,Online Luxury Tea etailer,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000.0
830,18-05-2017,PumpKart,Online Water Pumps etailer,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,324500.0
831,18-05-2017,Paytm,Mobile Wallet & ECommerce platform,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,1400000000.0
832,19-05-2017,EzCred,Consumer Lending Platform,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000.0
833,19-05-2017,HealthSutra,Health Food Maker,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,324500.0
834,20-05-2017,YepMe,Private Fashion Brand etailer,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,5925000.0
835,22-05-2017,Delhivery,ECommerce Logistics provider,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000.0
836,22-05-2017,ZipGrid,"Cashless, paperless solutions for Housing societies","Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,500000.0
837,23-05-2017,TravelSpice,Travel ECommerce portal,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,324500.0
838,23-05-2017,Magicpin,Hyperlocal discovery platform,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.0
839,23-05-2017,The Print,News Portal,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,324500.0
840,23-05-2017,Box8,Food Delivery Platform,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000.0
841,24-05-2017,GenNext Students,Online Tutoring Services,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000.0
842,25-05-2017,Aye Finance,Non-Banking Financial Company,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000.0
843,26-05-2017,WhatsLoan,Online Lending mobile app,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,324500.0
844,29-05-2017,Cube Consumer Services,Finance management Mobile app,Finance management Mobile app,Mumbai,Unknown,Seed Funding,324500.0
845,29-05-2017,Nivesh,Online MF investment platform,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,324500.0
846,29-05-2017,Wowflux,image Processing solution,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,324500.0
847,29-05-2017,Collateral Medical,Online Medical equipment supplier,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000.0
848,30-05-2017,Loadshare,Express Logistics Network,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,324500.0
849,30-05-2017,SimpliLend,Online lending platform,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,324500.0
850,30-05-2017,Supr Daily,Subscription based delivery platform,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000.0
851,30-05-2017,Swiggy,Online food delivery platform,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000.0
852,31-05-2017,SastaSundar,Online Pharmacy,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.0
853,31-05-2017,Magicpin,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000.0
854,01-04-2017,Cashe,Online & Mobile based Lending platform,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0
855,03-04-2017,Eruditus,Executive Education Provider,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,8200000.0
856,03-04-2017,TestBook,Online Test Preparation Platform,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,5925000.0
857,03-04-2017,Healthcare at Home,Home Healthcare Provider,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000000.0
858,03-04-2017,Tyre Express,Enterprise IoT solutions For Tyre Performance,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,324500.0
859,03-04-2017,SmartCoin,Micro Lending platform,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,5925000.0
860,04-04-2017,WayCool,Fresh-Produce Distribution Platform,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,2700000.0
861,04-04-2017,Perfios,Fin-Tech Solutions,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,6100000.0
862,04-04-2017,Whatfix,Interactive Tech-Support Guides,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000.0
863,04-04-2017,ElastiRun,App based Logistics & Distribution platform,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000.0
864,04-04-2017,Trukky,Online Truck Aggregator & Booking platform,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000.0
865,04-04-2017,Konsult App,App based Doctor Consulting platform,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,500000.0
866,05-04-2017,Credit Sudhaar,Credit Score Improvement platform,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,324500.0
867,05-04-2017,Fingerlix,Food Delivery Platform,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,3000000.0
868,05-04-2017,DataWeave,Business Intelligence Solutions,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,5925000.0
869,06-04-2017,Medwell Ventures,Home-Based Healthcare provider,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000.0
870,06-04-2017,Mech Mocha,Mobile gaming startup,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000.0
871,07-04-2017,Startup Buddy,Startup Support Platform,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,324500.0
872,07-04-2017,QorQI,Online Healthcare provider,Online Healthcare provider,Noida,Paytm,Seed Funding,324500.0
873,07-04-2017,Twenty Two Motors,Smart Scooter manufacturer,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,324500.0
874,07-04-2017,PharmEasy,Online Pharmacy,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000.0
875,08-04-2017,WonderChef,Online marketplace for kitchen products,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,5925000.0
876,08-04-2017,FastFox,Online rental discovery platform,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000.0
877,10-04-2017,Omnify,SaaS platform for SMEs,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,150000.0
878,10-04-2017,Capital Float,Online Lending Platform for SME,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.0
879,11-04-2017,Ninjacart,B2B agri-marketing platform,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000.0
880,11-04-2017,MergerWare,Software solutions for M&As,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,100000.0
881,11-04-2017,Sports Flashes,Online Sports portal & Mobile app,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,324500.0
882,12-04-2017,Clovia,Online lingerie & Sleepwear etailer,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000.0
883,12-04-2017,Emiza,Third Party Logistics provider,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000.0
884,12-04-2017,HackerEarth,Online Skill Assessment Platform,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000.0
885,12-04-2017,Squadrun,Software-As-a-Service Platform,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000.0
886,12-04-2017,Tinmen,Food Delivery Platform,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,324500.0
887,12-04-2017,ScoutMyTrip,Online Travel planner,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,324500.0
888,13-04-2017,SafetyKart,Safety & Hygiene Products etailer,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,5925000.0
889,13-04-2017,WeAreHolidays,Travel Packages & Planner marketplace,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000.0
890,14-04-2017,Ola Cabs,Cab Aggregator App,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,260000000.0
891,15-04-2017,Myly,Mobile App for Schools,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000.0
892,17-04-2017,CrediHealth,Online Medical Assistance platform,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000.0
893,17-04-2017,Navia Life Care,Health Technology platform,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Funding,324500.0
894,17-04-2017,Raw Pressery,Raw Pressed Juices manufacturer,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,324500.0
895,17-04-2017,Snackible,Healthy Snacks manufacturer,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,175000.0
896,17-04-2017,Be U Salons,Online Salon discovery & Booking Services,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,620000.0
897,17-04-2017,Simulanis,eLearning & Skills Development plat,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,324500.0
898,17-04-2017,LendingKart,Lending platform for small businesses,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,4650000.0
899,18-04-2017,Innefu Security Consulting,Cyber Security solutions using AI,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000.0
900,18-04-2017,Whodat,Markerless AR platform,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,600000.0
901,18-04-2017,Absentia VR,Virtual Reality Startup,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,1250000.0
902,19-04-2017,IOTrek,IoT Platform for Bus,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,155000.0
903,20-04-2017,HolaChef,Online Food Delivery,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000.0
904,20-04-2017,Wooplr,Social Commerce\\xc2\\xa0 Fashion platform,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,Private Equity,5925000.0
905,21-04-2017,Video Ken,Video Based Collaborative Learning,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,1000000.0
906,24-04-2017,Faasos,QSR chain and online food delivery,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000.0
907,24-04-2017,Oyo Rooms,Branded Budget Hotels Aggregator,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000.0
908,24-04-2017,Toppr,Learning mobile app for students,Learning mobile app for students,Mumbai,WGG International,Private Equity,3200000.0
909,24-04-2017,Niramai,Breast Cancer Screening Solutions,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,324500.0
910,25-04-2017,The Office Pass,CoWorking Spaces booking platform,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,245000.0
